state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
1650000	-345273.86015753524	-30667.863410275964	-314605.9967472593	2032.1870657887077	-6.195284966790041	11395.17491910966	300.2989576124915	0.001187314604857992	8.264134670845356	0.36524771022621766	0.18829466192670097	0.18819129377055083	0.2582663340765295	0.003844005214986574	0.0038440052149865947	-314605.9967472593	0.0	-30622.6820250124
1680000	-342938.3428513111	-30616.88300786572	-312321.4598434454	2032.7237418929972	-6.731961071079468	11303.553385872197	292.13382874724704	0.001187314604857992	7.881853491813231	0.3661465656258319	0.18822349366455218	0.18982527967801072	0.25580466103160426	0.003839613171702837	0.00383961317170283	-312321.4598434454	0.0	-30572.207912009406
1710000	-340621.9684412048	-30578.318650206045	-310043.6497909988	2032.5428133104713	-6.551032488553574	11273.940007828545	298.95404395745504	0.001187314604857992	8.083478707493393	0.3668391211666422	0.18997274073472445	0.19097588790384407	0.2522122501947883	0.0038137682974204597	0.0038137682974204766	-310043.6497909988	0.0	-30533.98494626856
1740000	-338330.3078411361	-30513.52418269728	-307816.7836584388	2032.8857304186604	-6.8939495967426865	11220.159184401124	287.44861944174835	0.001187314604857992	8.105941373014213	0.3588682653510399	0.18581276172008737	0.19517326243447586	0.260145710494396	0.003790608259279329	0.0037906082592793285	-307816.7836584388	0.0	-30469.690633186456
1770000	-336786.81997410505	-30455.975452631385	-306330.8445214737	2031.4350148276872	-5.443234005769455	11175.800005254056	288.3410947227187	0.001187314604857992	8.128213373917488	0.3666294699420056	0.18958609096285461	0.18982557411844414	0.25395886497669473	0.003792258782933695	0.0037922587829337068	-306330.8445214737	0.0	-30412.281642193037
1800000	-334668.2576118518	-30387.42829557778	-304280.82931627403	2032.132245270034	-6.14046444811629	11071.52883539572	278.90437551663996	0.001187314604857992	8.241944960268974	0.36408951921279364	0.19154495107450162	0.18942275483087628	0.2549427748818277	0.0037906505696940953	0.003790650569694107	-304280.82931627403	0.0	-30344.15281627746
1830000	-333167.4791188304	-30368.604259767388	-302798.874859063	2032.7747370435734	-6.782956221655695	11053.627346617848	282.06214122371983	0.0010711341277382935	8.019854668684555	0.3620430768714757	0.1901393576035919	0.18931454050236637	0.25850302502256534	0.0037541646793256083	0.003754164679325614	-302798.874859063	0.0	-30325.83929403036
1860000	-331742.76317264367	-30345.8001258972	-301396.96304674644	2033.567870280792	-7.576089458874321	11026.064542394653	276.71314833723346	9.384878901377292E-4	7.976599558926533	0.365385874140818	0.18981434364382482	0.19115224585094287	0.2536475363644134	0.0038112000002095583	0.00381120000020956	-301396.96304674644	0.0	-30302.529394970323
1890000	-329941.0176160107	-30327.29346013846	-299613.72415587225	2031.4430638200809	-5.451282998163151	11006.242862122239	278.19531795973984	9.384878901377292E-4	7.991875804959133	0.3667941668803831	0.1895476346641757	0.19130360250590964	0.2523545959495308	0.003731360541976294	0.0037313605419762837	-299613.72415587225	0.0	-30284.97811726954
1920000	-327521.16675515485	-30325.1550983462	-297196.01165680867	2032.7300076584295	-6.738226836511785	11003.667260292614	282.7481662993922	9.384878901377292E-4	7.903006917322847	0.3640918099092011	0.18760814785502414	0.19061438758668284	0.257685654649091	0.0037262507036050817	0.0037262507036050748	-297196.01165680867	0.0	-30282.908787963162
1950000	-325710.4670844248	-30254.548268607825	-295455.918815817	2031.45819813292	-5.46641731100226	10959.634416903227	268.8563922485051	9.384878901377292E-4	7.895373349276244	0.363832652873447	0.18975675593559255	0.19057714473444362	0.2558334464565157	0.0037464315909116175	0.0037464315909116045	-295455.918815817	0.0	-30212.292160416247
1980000	-323627.18948966655	-30179.92015427506	-293447.26933539147	2033.3141999903016	-7.322419168383931	10919.380364793065	262.48062646572134	9.384878901377292E-4	7.831614855728442	0.36080422805890877	0.1941110938718444	0.191132686621977	0.2539519914472687	0.003728570452646034	0.0037285704526460305	-293447.26933539147	0.0	-30138.048057757012
2010000	-321359.2401868958	-30060.376401141682	-291298.86378575413	2032.728691881691	-6.73691105977332	10836.348024361687	259.3811370561099	9.384878901377292E-4	7.64138194011196	0.3648421514790855	0.19111008706474306	0.1900114757455502	0.2540362857106201	0.003723171014261023	0.00372317101426099	-291298.86378575413	0.0	-30018.922243440495
2040000	-319567.6791017571	-30019.88182577353	-289547.7972759836	2031.169159873291	-5.1773790513732365	10806.741837594584	252.1777695628822	9.384878901377292E-4	7.992356588463338	0.3672331528609028	0.18973365175902504	0.1888175262239809	0.2542156691560901	0.0037085161994244746	0.003708516199424474	-289547.7972759836	0.0	-29978.64977787169
