name	date
A/swine/Iowa/A01244302/2012|A_/_H3N2|unassigned|2012-11-05|HA|4|EPI_ISL_133708	2012-11-05
A/swine/Indiana/A01203509/2012|A_/_H3N2|unassigned|2012-05-09|HA|4|EPI_ISL_124049	2012-05-09
A/swine/Iowa/A01432308/2013|A_/_H3N2|unassigned|2013-01-01|HA|4|EPI_ISL_136574	2013-01-01
A/swine/Ohio/12TOSU411/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140912	2012-08-06
A/swine/Indiana/A00968390/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_130417	2012-08-01
A/swine/Ohio/12TOSU483/2012|A_/_H3N2|unassigned|2012-08-10|HA|4|EPI_ISL_131254	2012-08-10
A/swine/Ohio/12TOSU484/2012|A_/_H3N2|unassigned|2012-08-10|HA|4|EPI_ISL_131255	2012-08-10
A/swine/Ohio/12TOSU370/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_137551	2012-08-01
A/swine/Ohio/12TOSU363/2012|A_/_H3N2|unassigned|2012-08-01|HA|4|EPI_ISL_137552	2012-08-01
A/swine/Ohio/12TOSU371/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_137620	2012-08-03
A/swine/Ohio/12TOSU374/2012|A_/_H3N2|unassigned|2012-08-03|HA|4|EPI_ISL_137621	2012-08-03
A/swine/Ohio/A01133466/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_129869	2012-08-06
A/swine/Kansas/A01377090/2013|A_/_H3N2|unassigned|2013-10-10|HA|4|EPI_ISL_151926	2013-10-10
A/swine/Indiana/A00968386/2012|A_/_H3N2|unassigned|2012-07-26|HA|4|EPI_ISL_129293	2012-07-26
A/swine/Indiana/A00968370/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129367	2012-07-13
A/swine/Indiana/A00968376/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129369	2012-07-13
A/swine/Indiana/A00968373/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129368	2012-07-13
A/swine/Indiana/A00968379/2012|A_/_H3N2|unassigned|2012-07-13|HA|4|EPI_ISL_129370	2012-07-13
A/swine/Indiana/A00968397/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_130419	2012-08-06
A/swine/Ohio/12TOSU268/2012|A_/_H3N2|unassigned|2012-07-28|HA|4|EPI_ISL_129365	2012-07-28
A/swine/Ohio/12TOSU293/2012|A_/_H3N2|unassigned|2012-07-28|HA|4|EPI_ISL_129366	2012-07-28
A/swine/Ohio/A01208180/2012|A_/_H3N2|unassigned|2012-07-31|HA|4|EPI_ISL_142027	2012-07-31
A/swine/Texas/13TOSU0060/2013|A_/_H3N2|unassigned|2013-02-28|HA|4|EPI_ISL_168320	2013-02-28
A/swine/Ohio/13TOSU1373/2013|A_/_H3N2|unassigned|2013-08-01|HA|4|EPI_ISL_161117	2013-08-01
A/swine/Minnesota/A01301908/2012|A_/_H3N2|unassigned|2012-09-02|HA|4|EPI_ISL_131253	2012-09-02
A/swine/Ohio/12TOSU138/2012|A_/_H3N2|unassigned|2012-07-12|HA|4|EPI_ISL_139854	2012-07-12
A/swine/Ohio/12TOSU175/2012|A_/_H3N2|unassigned|2012-07-19|HA|4|EPI_ISL_139853	2012-07-19
A/swine/Ohio/12TOSU129/2012|A_/_H3N2|unassigned|2012-07-12|HA|4|EPI_ISL_139856	2012-07-12
A/swine/Ohio/12TOSU176/2012|A_/_H3N2|unassigned|2012-07-19|HA|4|EPI_ISL_139857	2012-07-19
A/swine/Ohio/12TOSU433/2012|A_/_H3N2|unassigned|2012-08-06|HA|4|EPI_ISL_140908	2012-08-06
A/swine/Ohio/12TOSU464/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129357	2012-08-09
A/swine/Ohio/12TOSU467/2012|A_/_H3N2|unassigned|2012-08-09|HA|4|EPI_ISL_129356	2012-08-09
A/swine/Indiana/A01432492/2013|A_/_H3N2|unassigned|2013-03-01|HA|4|EPI_ISL_138992	2013-03-01
A/swine/Iowa/13E045/2013|A_/_H3N2|unassigned|2013-05-29|HA|4|EPI_ISL_151996	2013-05-29
A/swine/Ohio/A01349305/2013|A_/_H3N2|unassigned|2013-03-12|HA|4|EPI_ISL_139682	2013-03-12
A/swine/Ohio/A01349302/2013|A_/_H3N2|unassigned|2013-03-12|HA|4|EPI_ISL_139683	2013-03-12
A/swine/Ohio/A01349495/2013|A_/_H3N2|unassigned|2013-03-22|HA|4|EPI_ISL_139686	2013-03-22
A/swine/Ohio/A01349485/2013|A_/_H3N2|unassigned|2013-03-22|HA|4|EPI_ISL_139685	2013-03-22
A/swine/Ohio/A01349615/2013|A_/_H3N2|unassigned|2013-03-29|HA|4|EPI_ISL_140877	2013-03-29
A/swine/Ohio/A01364406/2013|A_/_H3N2|unassigned|2013-08-27|HA|4|EPI_ISL_149662	2013-08-27
